 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           Equatorial Dst index                         |
 IAGA CODE              DST                                          |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               H                                            |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Real-time                                    |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2022-03-07                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     DST                                  |
2022-01-19 22:00:00.000 019       -12.00
2022-01-19 23:00:00.000 019        -8.00
2022-01-20 00:00:00.000 020        -8.00
2022-01-20 01:00:00.000 020       -20.00
2022-01-20 02:00:00.000 020       -21.00
2022-01-20 03:00:00.000 020       -21.00
2022-01-20 04:00:00.000 020       -21.00
2022-01-20 05:00:00.000 020       -20.00
2022-01-20 06:00:00.000 020       -16.00
2022-01-20 07:00:00.000 020       -15.00
2022-01-20 08:00:00.000 020       -15.00
2022-01-20 09:00:00.000 020       -16.00
2022-01-20 10:00:00.000 020       -19.00
2022-01-20 11:00:00.000 020       -20.00
2022-01-20 12:00:00.000 020       -17.00
2022-01-20 13:00:00.000 020       -16.00
2022-01-20 14:00:00.000 020       -16.00
2022-01-20 15:00:00.000 020       -15.00
2022-01-20 16:00:00.000 020       -15.00
2022-01-20 17:00:00.000 020       -15.00
2022-01-20 18:00:00.000 020       -14.00
2022-01-20 19:00:00.000 020       -12.00
2022-01-20 20:00:00.000 020       -11.00
2022-01-20 21:00:00.000 020       -10.00
2022-01-20 22:00:00.000 020        -7.00
2022-01-20 23:00:00.000 020        -5.00
2022-01-21 00:00:00.000 021        -3.00
2022-01-21 01:00:00.000 021        -6.00
2022-01-21 02:00:00.000 021        -5.00
2022-01-21 03:00:00.000 021        -5.00
2022-01-21 04:00:00.000 021        -7.00
2022-01-21 05:00:00.000 021        -8.00
2022-01-21 06:00:00.000 021       -10.00
2022-01-21 07:00:00.000 021       -13.00
2022-01-21 08:00:00.000 021       -16.00
2022-01-21 09:00:00.000 021       -18.00
2022-01-21 10:00:00.000 021       -17.00
2022-01-21 11:00:00.000 021       -17.00
2022-01-21 12:00:00.000 021       -14.00
2022-01-21 13:00:00.000 021       -10.00
2022-01-21 14:00:00.000 021        -8.00
2022-01-21 15:00:00.000 021        -8.00
2022-01-21 16:00:00.000 021       -13.00
2022-01-21 17:00:00.000 021       -19.00
2022-01-21 18:00:00.000 021       -19.00
2022-01-21 19:00:00.000 021       -20.00
2022-01-21 20:00:00.000 021       -18.00
2022-01-21 21:00:00.000 021       -17.00
2022-01-21 22:00:00.000 021       -19.00
2022-01-21 23:00:00.000 021       -17.00
2022-01-22 00:00:00.000 022       -15.00
2022-01-22 01:00:00.000 022       -16.00
2022-01-22 02:00:00.000 022       -21.00
2022-01-22 03:00:00.000 022       -23.00
2022-01-22 04:00:00.000 022       -25.00
2022-01-22 05:00:00.000 022       -26.00
2022-01-22 06:00:00.000 022       -27.00
2022-01-22 07:00:00.000 022       -29.00
2022-01-22 08:00:00.000 022       -29.00
2022-01-22 09:00:00.000 022       -26.00
2022-01-22 10:00:00.000 022       -23.00
2022-01-22 11:00:00.000 022       -19.00
2022-01-22 12:00:00.000 022       -17.00
2022-01-22 13:00:00.000 022       -16.00
2022-01-22 14:00:00.000 022       -15.00
2022-01-22 15:00:00.000 022       -16.00
2022-01-22 16:00:00.000 022       -18.00
2022-01-22 17:00:00.000 022       -17.00
2022-01-22 18:00:00.000 022       -12.00
2022-01-22 19:00:00.000 022       -12.00
