 Format                 IAGA-2002                                    |
 Source of Data         Borok Geophysical Observatory(Russia)/IPGP   |
 Station Name           Borok                                        |
 IAGA Code              BOX                                          |
 Geodetic Latitude      58.070                                       |
 Geodetic Longitude     38.230                                       |
 Elevation              115.0                                        |
 Reported               XYZF                                         |
 Sensor Orientation     HDZF                                         |
 Digital Sampling       0.2 second                                   |
 Data Interval Type     Filtered 1-minute (00:15 - 1:45)             |
 Data Type              variation                                    |
 # Vector 1-minute values are computed from 1-second values using    |
 # the INTERMAGNET gaussian filter centered on the minute.           |
 # Scalar 1-minute values are computed from 5-second values using    |
 # the INTERMAGNET gaussian filter centered on the minute.           |
 # This data file was created using INTERMAGNET data                 |
 # from the Paris GIN. These data were acquired                      |
 # from an INTERMAGNET reported data file.                           |
 # Final data will be available on the INTERMAGNET DVD               |
 # Go to www.intermagnet.org for details on obtaining this product.  |
 # CONDITIONS OF USE: The conditions of use for data provided        |
 # through INTERMAGNET and acknowledgement templates can be found    |
 # at www.intermagnet.org                                            |
DATE       TIME         DOY     BOXX      BOXY      BOXZ      BOXF   |
2022-01-15 02:36:00.000 015     15045.19   3418.49  50756.03  53049.66
2022-01-15 02:37:00.000 015     15045.35   3418.37  50755.58  53049.31
2022-01-15 02:38:00.000 015     15044.82   3418.12  50755.13  53048.68
2022-01-15 02:39:00.000 015     15043.78   3416.30  50754.59  53047.77
2022-01-15 02:40:00.000 015     15042.38   3414.85  50753.90  53046.66
2022-01-15 02:41:00.000 015     15039.82   3414.66  50753.14  53045.14
2022-01-15 02:42:00.000 015     15037.80   3415.33  50752.14  53043.64
2022-01-15 02:43:00.000 015     15037.88   3416.80  50751.06  53042.72
2022-01-15 02:44:00.000 015     15038.37   3418.09  50749.95  53041.91
2022-01-15 02:45:00.000 015     15039.74   3419.61  50748.92  53041.40
2022-01-15 02:46:00.000 015     15041.32   3421.23  50747.86  53040.98
2022-01-15 02:47:00.000 015     15041.49   3422.27  50746.77  53040.08
2022-01-15 02:48:00.000 015     15041.41   3424.04  50745.67  53039.09
2022-01-15 02:49:00.000 015     15041.90   3425.38  50744.57  53038.27
2022-01-15 02:50:00.000 015     15042.11   3426.83  50743.39  53037.32
2022-01-15 02:51:00.000 015     15042.24   3427.51  50742.03  53036.13
2022-01-15 02:52:00.000 015     15041.48   3428.08  50740.71  53034.68
2022-01-15 02:53:00.000 015     15041.88   3429.56  50739.47  53033.73
2022-01-15 02:54:00.000 015     15042.31   3430.62  50738.49  53032.92
2022-01-15 02:55:00.000 015     15042.06   3432.54  50737.46  53032.07
2022-01-15 02:56:00.000 015     15042.39   3434.74  50736.63  53031.48
2022-01-15 02:57:00.000 015     15042.90   3436.47  50735.96  53031.08
2022-01-15 02:58:00.000 015     15042.52   3437.84  50735.23  53030.42
2022-01-15 02:59:00.000 015     15042.35   3439.84  50734.56  53029.83
2022-01-15 03:00:00.000 015     15043.56   3441.16  50734.08  53029.75
2022-01-15 03:01:00.000 015     15043.44   3442.98  50733.66  53029.47
2022-01-15 03:02:00.000 015     15043.53   3444.54  50733.27  53029.21
2022-01-15 03:03:00.000 015     15044.30   3446.14  50733.01  53029.22
2022-01-15 03:04:00.000 015     15043.88   3446.64  50732.64  53028.84
2022-01-15 03:05:00.000 015     15044.05   3447.23  50732.23  53028.50
2022-01-15 03:06:00.000 015     15043.65   3446.97  50731.83  53028.01
2022-01-15 03:07:00.000 015     15042.95   3447.18  50731.73  53027.68
2022-01-15 03:08:00.000 015     15042.49   3447.68  50731.65  53027.52
2022-01-15 03:09:00.000 015     15042.21   3447.86  50731.61  53027.46
2022-01-15 03:10:00.000 015     15041.58   3448.18  50731.70  53027.39
2022-01-15 03:11:00.000 015     15039.69   3448.52  50732.10  53027.18
2022-01-15 03:12:00.000 015     15037.21   3449.07  50732.35  53026.77
2022-01-15 03:13:00.000 015     15035.52   3450.36  50732.63  53026.59
2022-01-15 03:14:00.000 015     15035.22   3451.86  50733.02  53026.94
2022-01-15 03:15:00.000 015     15035.01   3451.93  50733.26  53027.18
2022-01-15 03:16:00.000 015     15035.51   3451.62  50733.65  53027.66
2022-01-15 03:17:00.000 015     15036.22   3451.81  50734.22  53028.33
2022-01-15 03:18:00.000 015     15036.66   3453.59  50734.66  53029.11
2022-01-15 03:19:00.000 015     15038.21   3455.19  50735.20  53030.25
2022-01-15 03:20:00.000 015     15040.61   3456.39  50735.96  53031.71
2022-01-15 03:21:00.000 015     15043.03   3457.20  50736.85  53033.26
2022-01-15 03:22:00.000 015     15044.95   3456.65  50737.65  53034.56
2022-01-15 03:23:00.000 015     15046.04   3456.31  50738.51  53035.65
2022-01-15 03:24:00.000 015     15048.46   3456.93  50739.43  53037.21
2022-01-15 03:25:00.000 015     15051.86   3457.82  50740.34  53039.09
2022-01-15 03:26:00.000 015     15054.27   3457.23  50741.37  53040.76
2022-01-15 03:27:00.000 015     15056.25   3457.49  50742.43  53042.33
2022-01-15 03:28:00.000 015     15056.36   3456.95  50743.32  53043.26
2022-01-15 03:29:00.000 015     15056.64   3457.23  50744.12  53044.07
2022-01-15 03:30:00.000 015     15056.83   3455.47  50744.84  53044.71
2022-01-15 03:31:00.000 015     15055.86   3455.61  50745.40  53045.02
2022-01-15 03:32:00.000 015     15058.02   3457.49  50746.08  53046.32
2022-01-15 03:33:00.000 015     15062.85   3456.29  50746.94  53048.48
2022-01-15 03:34:00.000 015     15065.50   3453.68  50748.04  53050.10
2022-01-15 03:35:00.000 015     15065.09   3451.13  50749.05  53050.82
2022-01-15 03:36:00.000 015     15062.69   3449.78  50749.93  53050.85
2022-01-15 03:37:00.000 015     15062.31   3450.50  50750.53  53051.34
2022-01-15 03:38:00.000 015     15063.09   3451.08  50750.84  53051.92
2022-01-15 03:39:00.000 015     15059.85   3449.11  50751.09  53051.18
2022-01-15 03:40:00.000 015     15059.28   3452.01  50751.43  53051.47
2022-01-15 03:41:00.000 015     15060.92   3453.72  50751.62  53052.23
2022-01-15 03:42:00.000 015     15060.53   3454.69  50751.86  53052.42
2022-01-15 03:43:00.000 015     15060.73   3456.87  50752.14  53052.88
2022-01-15 03:44:00.000 015     15060.80   3455.89  50752.42  53053.10
2022-01-15 03:45:00.000 015     15060.95   3455.46  50752.95  53053.68
2022-01-15 03:46:00.000 015     15060.83   3454.83  50753.57  53054.17
2022-01-15 03:47:00.000 015     15061.19   3454.12  50754.16  53054.76
2022-01-15 03:48:00.000 015     15060.80   3453.72  50754.73  53055.16
2022-01-15 03:49:00.000 015     15061.18   3455.10  50755.17  53055.81
2022-01-15 03:50:00.000 015     15062.31   3455.72  50755.58  53056.55
2022-01-15 03:51:00.000 015     15063.35   3454.77  50755.95  53057.14
2022-01-15 03:52:00.000 015     15062.51   3454.10  50756.34  53057.18
2022-01-15 03:53:00.000 015     15060.42   3454.27  50756.73  53056.93
2022-01-15 03:54:00.000 015     15057.96   3457.00  50756.82  53056.56
2022-01-15 03:55:00.000 015     15058.59   3458.94  50756.88  53056.86
2022-01-15 03:56:00.000 015     15059.71   3460.64  50756.83  53057.27
2022-01-15 03:57:00.000 015     15062.31   3462.25  50756.97  53058.27
2022-01-15 03:58:00.000 015     15065.13   3462.57  50757.36  53059.46
2022-01-15 03:59:00.000 015     15066.81   3461.53  50757.77  53060.26
2022-01-15 04:00:00.000 015     15067.24   3459.75  50758.15  53060.68
2022-01-15 04:01:00.000 015     15066.15   3459.26  50758.48  53060.66
2022-01-15 04:02:00.000 015     15066.36   3458.47  50758.71  53060.83
2022-01-15 04:03:00.000 015     15065.66   3456.82  50758.81  53060.70
2022-01-15 04:04:00.000 015     15063.21   3456.28  50759.00  53060.19
2022-01-15 04:05:00.000 015     15059.42   3456.53  50759.02  53059.10
2022-01-15 04:06:00.000 015     15055.38   3457.96  50758.66  53057.72
2022-01-15 04:07:00.000 015     15053.93   3461.06  50758.22  53057.09
2022-01-15 04:08:00.000 015     15054.44   3464.71  50757.83  53057.06
2022-01-15 04:09:00.000 015     15057.25   3466.62  50757.59  53057.76
2022-01-15 04:10:00.000 015     15062.39   3466.95  50757.55  53059.10
2022-01-15 04:11:00.000 015     15065.85   3464.88  50757.75  53060.16
2022-01-15 04:12:00.000 015     15065.38   3463.60  50758.03  53060.29
2022-01-15 04:13:00.000 015     15065.39   3464.20  50758.34  53060.59
2022-01-15 04:14:00.000 015     15064.76   3462.43  50758.58  53060.53
2022-01-15 04:15:00.000 015     15062.32   3464.17  50758.68  53060.03
2022-01-15 04:16:00.000 015     15063.08   3465.94  50758.50  53060.27
2022-01-15 04:17:00.000 015     15065.08   3466.32  50758.56  53060.86
2022-01-15 04:18:00.000 015     15068.28   3466.28  50758.60  53061.84
2022-01-15 04:19:00.000 015     15070.77   3463.90  50758.70  53062.52
2022-01-15 04:20:00.000 015     15069.43   3461.15  50758.98  53062.25
2022-01-15 04:21:00.000 015     15067.94   3461.13  50759.28  53062.08
2022-01-15 04:22:00.000 015     15066.25   3461.54  50759.47  53061.85
2022-01-15 04:23:00.000 015     15065.40   3462.64  50759.49  53061.71
2022-01-15 04:24:00.000 015     15065.40   3463.39  50759.49  53061.73
2022-01-15 04:25:00.000 015     15065.31   3463.59  50759.49  53061.77
2022-01-15 04:26:00.000 015     15065.53   3464.47  50759.58  53061.91
2022-01-15 04:27:00.000 015     15064.57   3465.05  50759.74  53061.75
2022-01-15 04:28:00.000 015     15064.93   3464.16  50759.87  53061.95
2022-01-15 04:29:00.000 015     15064.35   3463.74  50760.03  53061.91
2022-01-15 04:30:00.000 015     15065.62   3462.01  50760.26  53062.36
2022-01-15 04:31:00.000 015     15065.20   3460.71  50760.53  53062.43
2022-01-15 04:32:00.000 015     15063.80   3459.63  50760.77  53062.21
2022-01-15 04:33:00.000 015     15062.31   3459.42  50761.01  53061.97
2022-01-15 04:34:00.000 015     15056.97   3460.52  50761.10  53060.63
2022-01-15 04:35:00.000 015     15054.86   3462.77  50761.01  53060.13
2022-01-15 04:36:00.000 015     15055.00   3464.46  50760.84  53060.10
2022-01-15 04:37:00.000 015     15055.12   3466.06  50760.71  53060.07
2022-01-15 04:38:00.000 015     15058.66   3467.35  50760.78  53061.22
2022-01-15 04:39:00.000 015     15062.44   3465.99  50760.98  53062.43
2022-01-15 04:40:00.000 015     15063.30   3465.11  50761.33  53062.99
2022-01-15 04:41:00.000 015     15063.59   3464.95  50761.79  53063.48
2022-01-15 04:42:00.000 015     15062.34   3465.12  50762.13  53063.43
2022-01-15 04:43:00.000 015     15062.11   3466.86  50762.27  53063.57
2022-01-15 04:44:00.000 015     15061.89   3467.19  50762.21  53063.51
2022-01-15 04:45:00.000 015     15061.70   3467.59  50762.21  53063.47
2022-01-15 04:46:00.000 015     15060.85   3468.28  50762.18  53063.20
2022-01-15 04:47:00.000 015     15062.79   3467.90  50762.12  53063.67
2022-01-15 04:48:00.000 015     15063.68   3466.24  50762.14  53063.93
2022-01-15 04:49:00.000 015     15063.68   3465.25  50762.32  53064.06
2022-01-15 04:50:00.000 015     15062.92   3464.72  50762.45  53063.95
2022-01-15 04:51:00.000 015     15062.55   3465.20  50762.41  53063.85
2022-01-15 04:52:00.000 015     15063.60   3465.53  50762.47  53064.16
2022-01-15 04:53:00.000 015     15065.17   3465.12  50762.59  53064.65
2022-01-15 04:54:00.000 015     15069.31   3463.90  50762.84  53066.02
2022-01-15 04:55:00.000 015     15069.06   3460.50  50763.27  53066.18
2022-01-15 04:56:00.000 015     15067.00   3459.54  50763.83  53066.02
2022-01-15 04:57:00.000 015     15065.15   3458.90  50764.16  53065.79
2022-01-15 04:58:00.000 015     15063.30   3458.68  50764.41  53065.52
2022-01-15 04:59:00.000 015     15060.02   3460.59  50764.51  53064.79
2022-01-15 05:00:00.000 015     15060.83   3461.08  50764.47  53064.99
2022-01-15 05:01:00.000 015     15061.42   3461.97  50764.44  53065.12
2022-01-15 05:02:00.000 015     15061.65   3460.57  50764.48  53065.20
2022-01-15 05:03:00.000 015     15062.03   3461.46  50764.58  53065.48
2022-01-15 05:04:00.000 015     15061.64   3462.09  50764.75  53065.51
2022-01-15 05:05:00.000 015     15062.89   3459.31  50765.01  53066.01
2022-01-15 05:06:00.000 015     15062.02   3459.18  50765.34  53066.05
2022-01-15 05:07:00.000 015     15062.51   3460.55  50765.64  53066.49
2022-01-15 05:08:00.000 015     15063.77   3461.27  50765.84  53067.16
2022-01-15 05:09:00.000 015     15064.46   3460.79  50766.02  53067.51
2022-01-15 05:10:00.000 015     15064.33   3460.80  50766.21  53067.65
2022-01-15 05:11:00.000 015     15063.70   3461.32  50766.40  53067.69
2022-01-15 05:12:00.000 015     15063.75   3462.12  50766.48  53067.84
2022-01-15 05:13:00.000 015     15063.90   3462.03  50766.51  53067.91
2022-01-15 05:14:00.000 015     15063.83   3462.05  50766.48  53067.91
2022-01-15 05:15:00.000 015     15064.03   3462.67  50766.47  53067.99
2022-01-15 05:16:00.000 015     15063.62   3462.75  50766.48  53067.93
2022-01-15 05:17:00.000 015     15063.45   3463.70  50766.52  53067.89
