 Format                 IAGA-2002                                    |
 Source of Data         Instituto Geografico Nacional (Spain)        |
 Station Name           Guimar - Tenerife                            |
 IAGA Code              GUI                                          |
 Geodetic Latitude      28.317                                       |
 Geodetic Longitude     343.560                                      |
 Elevation              868                                          |
 Reported               XYZF                                         |
 Sensor Orientation     HDZF                                         |
 Digital Sampling       0.0078125 seconds                            |
 Data Interval Type     Filtered 1-minute (00:15-01:45)              |
 Data Type              variation                                    |
 # INTERMAGNET Gaussian filter applied for 1-second data             |
 # This data file was created using INTERMAGNET data from Paris GIN. |
 # Final data will be available on the INTERMAGNET DVD.              |
 # Go to www.intermagnet.org for details on obtaining this product.  |
 # CONDITIONS OF USE: The conditions of use for data provided        |
 # through INTERMAGNET and acknowledgement templates can be found    |
 # at www.intermagnet.org                                            |
DATE       TIME         DOY     GUIX      GUIY      GUIZ      GUIF   |
2022-01-15 02:27:00.000 015     27609.85  -3086.02  22530.45  35945.48
2022-01-15 02:28:00.000 015     27611.03  -3085.17  22530.26  35946.20
2022-01-15 02:29:00.000 015     27612.38  -3084.56  22530.13  35947.10
2022-01-15 02:30:00.000 015     27613.65  -3084.30  22530.11  35948.03
2022-01-15 02:31:00.000 015     27614.74  -3084.60  22530.21  35948.95
2022-01-15 02:32:00.000 015     27615.69  -3085.19  22530.43  35949.89
2022-01-15 02:33:00.000 015     27616.55  -3085.67  22530.61  35950.70
2022-01-15 02:34:00.000 015     27617.19  -3085.85  22530.66  35951.25
2022-01-15 02:35:00.000 015     27617.62  -3085.81  22530.58  35951.51
2022-01-15 02:36:00.000 015     27618.21  -3085.83  22530.54  35951.97
2022-01-15 02:37:00.000 015     27618.88  -3085.86  22530.57  35952.46
2022-01-15 02:38:00.000 015     27619.42  -3085.94  22530.53  35952.88
2022-01-15 02:39:00.000 015     27620.39  -3086.47  22530.71  35953.79
2022-01-15 02:40:00.000 015     27621.45  -3087.16  22530.93  35954.80
2022-01-15 02:41:00.000 015     27622.36  -3087.96  22531.20  35955.68
2022-01-15 02:42:00.000 015     27623.12  -3088.68  22531.40  35956.47
2022-01-15 02:43:00.000 015     27624.12  -3089.00  22531.57  35957.38
2022-01-15 02:44:00.000 015     27625.08  -3089.13  22531.62  35958.14
2022-01-15 02:45:00.000 015     27625.87  -3089.28  22531.63  35958.74
2022-01-15 02:46:00.000 015     27626.60  -3089.48  22531.62  35959.33
2022-01-15 02:47:00.000 015     27627.39  -3089.89  22531.64  35959.98
2022-01-15 02:48:00.000 015     27627.94  -3090.26  22531.66  35960.43
2022-01-15 02:49:00.000 015     27628.33  -3090.54  22531.63  35960.72
2022-01-15 02:50:00.000 015     27628.63  -3091.17  22531.66  35961.03
2022-01-15 02:51:00.000 015     27628.85  -3091.88  22531.69  35961.27
2022-01-15 02:52:00.000 015     27629.00  -3092.80  22531.79  35961.50
2022-01-15 02:53:00.000 015     27629.11  -3093.35  22531.77  35961.63
2022-01-15 02:54:00.000 015     27629.07  -3093.72  22531.65  35961.55
2022-01-15 02:55:00.000 015     27628.72  -3094.12  22531.55  35961.22
2022-01-15 02:56:00.000 015     27628.64  -3094.41  22531.43  35961.08
2022-01-15 02:57:00.000 015     27628.85  -3094.50  22531.23  35961.14
2022-01-15 02:58:00.000 015     27628.69  -3094.56  22531.03  35960.88
2022-01-15 02:59:00.000 015     27628.23  -3094.77  22530.83  35960.45
2022-01-15 03:00:00.000 015     27628.09  -3094.94  22530.64  35960.22
2022-01-15 03:01:00.000 015     27627.78  -3094.85  22530.35  35959.80
2022-01-15 03:02:00.000 015     27627.36  -3094.46  22529.99  35959.24
